癌症診斷年,性別,縣市別,癌症別,年齡標準化發生率  WHO 2000世界標準人口 (每10萬人口) ,癌症發生數,平均年齡,年齡中位數,粗率 (每10萬人口)
1979,不分男女,台閩地區,口腔、口咽及下咽,3.4,439,53.37,55,2.5
1979,不分男女,台北市,口腔、口咽及下咽,3.85,65,52,55,2.96
1979,不分男女,台中市,口腔、口咽及下咽,4.16,45,54.18,55,2.88
1979,不分男女,台南市,口腔、口咽及下咽,1.58,19,55.79,57,1.24
1979,不分男女,高雄市,口腔、口咽及下咽,2.1,32,48.56,50,1.49
1979,不分男女,基隆市,口腔、口咽及下咽,3.93,10,56.7,59.5,2.9
1979,不分男女,新竹市,口腔、口咽及下咽,4.37,10,48.3,53.5,3.62
1979,不分男女,嘉義市,口腔、口咽及下咽,4.54,8,60.75,62,3.16
1979,不分男女,新北市,口腔、口咽及下咽,3.26,47,52.85,53,2.2
1979,不分男女,桃園市,口腔、口咽及下咽,2.97,21,55.81,55,2.07
1979,不分男女,新竹縣,口腔、口咽及下咽,1.62,4,64.5,64.5,1.11
1979,不分男女,宜蘭縣,口腔、口咽及下咽,2.93,10,53,54,2.27
1979,不分男女,苗栗縣,口腔、口咽及下咽,0.82,3,55.67,67,0.55
1979,不分男女,彰化縣,口腔、口咽及下咽,6.5,55,52.25,54,4.77
1979,不分男女,南投縣,口腔、口咽及下咽,2.45,10,52.7,52,1.92
1979,不分男女,雲林縣,口腔、口咽及下咽,2.43,15,49.47,50,1.88
1979,不分男女,嘉義縣,口腔、口咽及下咽,2.62,12,52.17,53,2.08
1979,不分男女,屏東縣,口腔、口咽及下咽,4.08,25,60.2,59,2.83
1979,不分男女,澎湖縣,口腔、口咽及下咽,2.31,2,56.5,56.5,1.84
1979,不分男女,花蓮縣,口腔、口咽及下咽,2.92,9,47.89,53,2.55
1979,不分男女,台東縣,口腔、口咽及下咽,6.67,17,55.88,57.5,6.04
1979,男,台閩地區,口腔、口咽及下咽,5.09,364,53.27,55,3.97
1979,男,台北市,口腔、口咽及下咽,4.34,42,51.31,55,3.68
1979,男,台中市,口腔、口咽及下咽,7.14,42,54.83,55,5.2
1979,男,台南市,口腔、口咽及下咽,2.69,17,56.47,58,2.13
1979,男,高雄市,口腔、口咽及下咽,2.77,23,48.52,50,2.05
1979,男,基隆市,口腔、口咽及下咽,6.18,9,56,59,4.95
1979,男,新竹市,口腔、口咽及下咽,6.57,8,47,49,5.52
1979,男,嘉義市,口腔、口咽及下咽,7.37,7,60.29,62,5.35
